instance,channel,min,max,mean,median,std,skew,kurtosis,activity,mobility,complexity,psd_alpha_mean,psd_beta_mean,psd_gamma_mean,psd_delta_mean,psd_theta_mean,alpha_rel,beta_rel,gamma_rel,delta_rel,theta_rel,spm_1,spm_2,SP,POW_SP,SPE,α+θ/β,α/β,α+θ/α+β,θ/β,γ+β/δ+α,γ/δ,hurst_exp,hfd,lyapunov_exp,wt_alpha_mean,wt_beta_mean,wt_gamma_mean,wt_delta_mean,wt_theta_mean,DFA,PCC ch-0,PCC ch-1,PCC ch-2,PCC ch-3,PCC ch-4,PCC ch-5
111,3,-14.28,10.28,-1.9072767857142858,-2.14,4.00024345734513,0.26460815154664596,0.2733450051108841,16.001947718032522,0.0334593148654873,5.033623285897978,0.906257292058284,0.12179390535547996,0.0010829139156435788,0.8725424440035875,0.23620125620271387,0.3977665259607954,0.17373432675599085,0.012357880767180175,0.28722652475136823,0.10367138993601267,74.56755542942474,1012.7843215444376,1.0,1.285050009163359,1.1001797782716793,9.380260407337325,7.440908388750572,1.1112856549703407,1.9393520185867519,0.06907850095770958,0.0012411017058089684,0.14435844008303023,0.17442255771655393,0.008646239923394165,0.4591491147137595,-1.5737539892627543,-0.017745725691119756,0.1883102108275132,-5.637352938338369,2.094164425930009,0.7129251879583673,0.3401261640396647,0.7732778581928206,1.0,0.06110055725321178,-0.5138833291151496
111,4,-13.72,8.94,-3.0604129464285714,-3.25,3.379164353327117,0.051178128703660765,0.37617375146522125,11.418751726796675,0.033456470546647694,4.793845007973672,0.43766672758244374,0.09675335258663531,0.0008909190617912345,0.835555187450926,0.3355196433931258,0.24451121225228992,0.17567284334955305,0.012940970465207534,0.35009962874462036,0.1874447143690071,52.58945324794071,754.2746115739851,1.0,1.438906345397273,1.286520050209639,7.991313482220057,4.5235303571578696,1.446776421145983,3.4677831250621867,0.07669069350402076,0.0010662599851832767,0.11992590204981358,0.16526040653355978,0.013695156512391185,0.46394234555902225,0.9834881354387923,-0.0026216729641275866,-46.182183670843216,-0.911605619065817,2.08533164535332,0.2610865648256418,0.6813354356805167,-0.3329198717754659,0.06110055725321177,1.0,0.6068415905644026
111,5,-33.41,2.16,-12.196060267857144,-9.72,8.41145034265218,-0.5786611059785777,-0.8101923495909644,70.7524968669035,0.03346176203774867,1.6588052753746274,1.0030110705613724,0.11861974399081274,0.001426501460288577,2.00041204696143,0.279525532500566,0.3019949843803325,0.11607383861613718,0.011167078580108531,0.4517256259232246,0.08416189142774505,84.4797901697977,1171.0733641363454,1.0,4.363848066136498,-0.4420864326718263,10.812168024585121,8.45568399337514,1.1434569970993491,2.356484031209978,0.039969808033612796,0.000713103814014414,0.199195635889093,0.159043723463274,0.016715443265306835,0.3930233814610094,0.9986328765075104,0.04208830150073355,-169.95949595506883,2.224827930073286,1.9493871097458058,-0.34778146988338593,0.3595747968627357,-0.7748388819246299,-0.5138833291151496,0.6068415905644026,1.0
112,0,-15.38,39.19,10.800613839285713,9.88,10.22787764924976,0.35577418154248386,-0.08564173005190501,104.60948120802277,0.033508720150881924,2.9404366716651937,2.9601628440900387,0.5692232728400088,0.003765182739353787,4.611962646179829,2.099010612845334,0.2793733529051145,0.174596440684978,0.00923908119975211,0.32644981098982717,0.19809978828184477,312.90237056414867,4153.9555553759765,1.0,5.864147949697575,-8.305504890155191,8.887854201206125,5.20035456266745,1.4334428961079424,3.6874996385386742,0.07567075536659411,0.0008163948904643786,0.17246433603871475,0.15415029538179142,0.03607290524702804,-1.0104296073499643,-4.473323893592493,-0.039669800261609836,180.11181696946986,6.1353129551633065,2.093437006804159,1.0,0.9224498866524545,0.4994551761678251,0.6984806058640917,0.6187713286783368,-0.2673255122911757
112,1,-45.81,7.84,-20.389140625000003,-21.28,10.14478302317834,0.2146797966728628,0.03516553480988138,102.91662258736746,0.033407656536693774,2.0505939839499976,4.157401911810072,0.5276475702991613,0.003569817761996062,5.36860918172579,1.641906006599457,0.34576543849284064,0.14262211508506786,0.007719318550379476,0.33487491957589766,0.13655507992219007,351.2280767673434,4524.4620093122485,1.0,7.873023133870497,-11.373638408631932,10.99087391821303,7.87912642041153,1.2378327999640786,3.1117474978015016,0.05576493485522283,0.0006649427516808945,0.19389979978468985,0.1541301254961531,-0.0035291218257451668,-2.030401904018357,-2.5874413953569855,-0.005514645395244358,-175.81699482383235,7.5961492083524815,2.012447649218306,0.9224498866524545,1.0,0.37325246146864394,0.568929349603632,0.7034976588641294,-0.09083997329512315
112,2,-7.72,15.25,3.4650111607142855,3.605,3.9638389186607625,0.11188903850851362,0.15961474043846247,15.712018973089725,0.03346715753497215,5.078687320718819,1.1400851432721886,0.14752203307647943,0.0011720027489372374,0.6324010887013368,0.24427627525881684,0.476437822409802,0.20035915649489752,0.01273417819913196,0.19820874741360395,0.10208225002972648,92.22586109350094,1368.6423965113545,10.0,1.8863220342413367,0.8853642542214115,9.384099375944167,7.728236382704524,1.0751426708079619,1.655862993239643,0.08389009355511746,0.0018532585883809848,0.07456810979124702,0.15993804832547623,0.009675675027112123,-1.2508454005602179,-0.8112618737831987,-0.01653220688938153,51.06785060636304,2.401050951234024,2.0862074222484823,0.4994551761678251,0.373252461468644,1.0,0.8039022475249741,0.03995606951011656,-0.39763944731349654
112,3,-17.09,12.19,-5.278080357142857,-6.015000000000001,6.235675826355943,0.5550900446661868,-0.33036347189288096,38.88365301139987,0.03342098982699968,3.044385814509179,0.7584251304849197,0.1553214388806734,0.0010259214149272004,0.8836292650938438,0.3431247894646338,0.3257813978194667,0.2168344753712892,0.01145779402411087,0.2846721108968295,0.14738920039058662,80.04980293094135,1187.4272174976104,1.0,1.5345227554125858,1.2326818835350064,7.092066155759899,4.882939122573956,1.2055311142939238,2.209127033185943,0.09521448297727916,0.0011610315043359782,0.10785159478194693,0.1770120037661332,-0.01282307027460457,-0.1560254177732736,-1.4957863482398155,-0.031467661553474795,-30.492506067740806,4.032146490951968,2.1800051112843857,0.6984806058640917,0.568929349603632,0.803902247524974,1.0,0.3254268112154962,-0.4642115300559461
112,4,-13.97,8.12,-3.2262723214285716,-3.295,3.4850705422946047,0.22593416164687916,0.5921556533388705,12.14571668476961,0.0334113699190304,5.018265332286235,0.921593519487095,0.1215676980239125,0.0009885762755986105,0.42811182823079164,0.24062863794260442,0.4748759742142806,0.2035833888661901,0.013244156900922429,0.16544714443377828,0.12399041057758846,74.39852256147068,1066.5092116133662,10.0,1.3959575654625473,1.2056669191200782,9.560287611936923,7.5809078765793245,1.1141347453491153,1.9793797353575988,0.09080224399105488,0.0023091543153198678,0.09514287912328111,0.14946094930905748,0.01807400110296261,-0.5116820360668092,-1.8428551254563534,-0.07380243418337902,-21.40378310220311,1.0457081713756455,1.9829901918630926,0.6187713286783367,0.7034976588641294,0.03995606951011656,0.3254268112154962,1.0,0.2811484720341273
112,5,-1.31,21.22,11.032667410714286,11.16,4.2923174108464766,-0.06804246106341942,-0.6130224738988468,18.4239887554558,0.033424757331543965,2.2827209721413566,1.2948110792947083,0.11864746304736322,0.001040297716024877,1.2300299987380359,0.4238970217406717,0.3914232189280199,0.11656871114282719,0.008176570208732614,0.2788798550517071,0.12814466866789084,97.425498878307,1345.4694281973955,1.0,2.3376144683431064,0.2698158927289734,14.485839451529477,10.913095367052467,1.2159593292262512,3.572744084477011,0.047404076955466855,0.0008457498736552628,0.14007891944231854,0.14632590696241704,-0.00716727854131344,-2.2472975129010377,-0.536552625973241,-0.03097796621035624,125.17777606407554,-3.1826912283972226,2.038174457153895,-0.2673255122911757,-0.09083997329512317,-0.39763944731349654,-0.4642115300559462,0.2811484720341273,1.0
113,0,-23.97,40.06,3.9371428571428573,1.0750000000000002,14.196272487911058,0.6280600784930387,-0.4297616075267734,201.5341525510204,0.033545219738198254,2.9402034939364556,2.4592262055357543,0.570438800553723,0.003957520376895099,7.483386177111257,2.719497901661395,0.18387627957222746,0.13861800652310785,0.007693496093004459,0.41964944270438104,0.20333678753762224,320.71222328816543,4209.028378328638,1.0,13.398486813857247,-13.683103541465872,9.078492034851381,4.311113134570426,1.7093388532356446,4.7673789002809555,0.05777116705596615,0.0005288408593691987,0.22616700353814226,0.16587383536857309,-0.002081100757305561,0.15475377791549827,-0.69914995083839,-0.061561752654518485,126.85124401927072,1.6521984443580564,2.073662853240792,1.0,0.8278086550735523,0.6642671564617575,0.7414089741033794,0.5849611108972748,-0.11499481191128498
